MATCHUP                                  ,GAME_ID    ,SEASON  ,GAME_DATE  ,HOME_TEAM_NICKNAME ,HOME_TEAM_ID ,AWAY_TEAM_NICKNAME ,AWAY_TEAM_ID
01/04/2021 Hornets at 76ers              ,0022000094 ,2020-21 ,2021-01-04 ,76ers              ,  1610612755 ,Hornets            ,  1610612766
01/02/2021 Hornets at 76ers              ,0022000082 ,2020-21 ,2021-01-02 ,76ers              ,  1610612755 ,Hornets            ,  1610612766
12/29/2020 Raptors at 76ers              ,0022000049 ,2020-21 ,2020-12-29 ,76ers              ,  1610612755 ,Raptors            ,  1610612761
12/23/2020 Wizards at 76ers              ,0022000013 ,2020-21 ,2020-12-23 ,76ers              ,  1610612755 ,Wizards            ,  1610612764
05/16/2021 Suns at Spurs                 ,0022001078 ,2020-21 ,2021-05-16 ,Spurs              ,  1610612759 ,Suns               ,  1610612756
05/15/2021 Suns at Spurs                 ,0022001065 ,2020-21 ,2021-05-15 ,Spurs              ,  1610612759 ,Suns               ,  1610612756
05/13/2021 Trail Blazers at Suns         ,0022001053 ,2020-21 ,2021-05-13 ,Suns               ,  1610612756 ,Trail Blazers      ,  1610612757
05/02/2021 Suns at Thunder               ,0022000972 ,2020-21 ,2021-05-02 ,Thunder            ,  1610612760 ,Suns               ,  1610612756
04/30/2021 Jazz at Suns                  ,0022000955 ,2020-21 ,2021-04-30 ,Suns               ,  1610612756 ,Jazz               ,  1610612762
04/17/2021 Spurs at Suns                 ,0022000860 ,2020-21 ,2021-04-17 ,Suns               ,  1610612756 ,Spurs              ,  1610612759
04/15/2021 Kings at Suns                 ,0022000843 ,2020-21 ,2021-04-15 ,Suns               ,  1610612756 ,Kings              ,  1610612758
04/10/2021 Wizards at Suns               ,0022000803 ,2020-21 ,2021-04-10 ,Suns               ,  1610612756 ,Wizards            ,  1610612764
04/07/2021 Jazz at Suns                  ,0022000783 ,2020-21 ,2021-04-07 ,Suns               ,  1610612756 ,Jazz               ,  1610612762
04/02/2021 Thunder at Suns               ,0022000744 ,2020-21 ,2021-04-02 ,Suns               ,  1610612756 ,Thunder            ,  1610612760
03/28/2021 Suns at Hornets               ,0022000703 ,2020-21 ,2021-03-28 ,Hornets            ,  1610612766 ,Suns               ,  1610612756
03/26/2021 Suns at Raptors               ,0022000684 ,2020-21 ,2021-03-26 ,Raptors            ,  1610612761 ,Suns               ,  1610612756
03/15/2021 Grizzlies at Suns             ,0022000607 ,2020-21 ,2021-03-15 ,Suns               ,  1610612756 ,Grizzlies          ,  1610612763
03/11/2021 Suns at Trail Blazers         ,0022000577 ,2020-21 ,2021-03-11 ,Trail Blazers      ,  1610612757 ,Suns               ,  1610612756
02/24/2021 Hornets at Suns               ,0022000496 ,2020-21 ,2021-02-24 ,Suns               ,  1610612756 ,Hornets            ,  1610612766
02/22/2021 Trail Blazers at Suns         ,0022000477 ,2020-21 ,2021-02-22 ,Suns               ,  1610612756 ,Trail Blazers      ,  1610612757
02/20/2021 Suns at Grizzlies             ,0022000462 ,2020-21 ,2021-02-20 ,Grizzlies          ,  1610612763 ,Suns               ,  1610612756
02/05/2021 Pistons at Suns               ,0022000349 ,2020-21 ,2021-02-05 ,Suns               ,  1610612756 ,Pistons            ,  1610612765
01/27/2021 Thunder at Suns               ,0022000281 ,2020-21 ,2021-01-27 ,Suns               ,  1610612756 ,Thunder            ,  1610612760
01/18/2021 Suns at Grizzlies             ,0022000208 ,2020-21 ,2021-01-18 ,Grizzlies          ,  1610612763 ,Suns               ,  1610612756
01/11/2021 Suns at Wizards               ,0022000152 ,2020-21 ,2021-01-11 ,Wizards            ,  1610612764 ,Suns               ,  1610612756
01/08/2021 Suns at Pistons               ,0022000123 ,2020-21 ,2021-01-08 ,Pistons            ,  1610612765 ,Suns               ,  1610612756
01/06/2021 Raptors at Suns               ,0022000115 ,2020-21 ,2021-01-06 ,Suns               ,  1610612756 ,Raptors            ,  1610612761
12/31/2020 Suns at Jazz                  ,0022000068 ,2020-21 ,2020-12-31 ,Jazz               ,  1610612762 ,Suns               ,  1610612756
12/27/2020 Suns at Kings                 ,0022000039 ,2020-21 ,2020-12-27 ,Kings              ,  1610612758 ,Suns               ,  1610612756
12/26/2020 Suns at Kings                 ,0022000030 ,2020-21 ,2020-12-26 ,Kings              ,  1610612758 ,Suns               ,  1610612756
