HOME_LAST_GAME_OE,HOME_LAST_GAME_HOME_WIN_PCTG,HOME_NUM_REST_DAYS,HOME_LAST_GAME_AWAY_WIN_PCTG,HOME_LAST_GAME_TOTAL_WIN_PCTG,HOME_LAST_GAME_ROLLING_SCORING_MARGIN,HOME_LAST_GAME_ROLLING_OE,HOME_W,HOME_TEAM_ID,GAME_ID,SEASON,AWAY_LAST_GAME_OE,AWAY_LAST_GAME_HOME_WIN_PCTG,AWAY_NUM_REST_DAYS,AWAY_LAST_GAME_AWAY_WIN_PCTG,AWAY_LAST_GAME_TOTAL_WIN_PCTG,AWAY_LAST_GAME_ROLLING_SCORING_MARGIN,AWAY_LAST_GAME_ROLLING_OE,AWAY_TEAM_ID
0.5412844036697247,1.0,1.0,1.0,1.0,2.5,0.556356487549148,0,1610612758,22000039,2020-21,0.532258064516129,1.0,1.0,0.0,0.5,0.5,0.5271909791607194,1610612756
0.6774193548387096,0.5,2.0,,0.5,8.0,0.6018675721561969,1,1610612747,22000040,2020-21,0.55,1.0,1.0,1.0,1.0,7.5,0.5537610619469027,1610612750
0.4711538461538461,,2.0,0.5,0.5,0.5,0.5146466905187835,1,1610612740,22000034,2020-21,0.6014492753623188,1.0,1.0,1.0,1.0,8.5,0.602311939268461,1610612759
0.4857142857142857,0.0,1.0,0.0,0.0,-17.0,0.5073199527744983,1,1610612752,22000036,2020-21,0.6147540983606558,1.0,2.0,0.0,0.5,19.0,0.5924647684785735,1610612749
0.4915254237288136,1.0,1.0,0.5,0.6666666666666666,17.333333333333332,0.5414215452454395,0,1610612751,22000042,2020-21,0.5,0.0,2.0,,0.0,-11.0,0.546875,1610612763
0.5350877192982456,,2.0,1.0,1.0,15.0,0.5490564646911396,1,1610612737,22000041,2020-21,0.4705882352941176,0.0,2.0,0.0,0.0,-9.5,0.5199095022624434,1610612765
0.5688073394495413,0.0,3.0,,0.0,-7.5,0.5706632117095034,1,1610612743,22000044,2020-21,0.6,,2.0,0.0,0.0,-2.0,0.6,1610612745
0.5371900826446281,,2.0,1.0,1.0,2.0,0.5371900826446281,0,1610612760,22000043,2020-21,0.4678899082568807,0.0,2.0,1.0,0.5,7.5,0.5202697404532267,1610612762
0.6119402985074627,0.6666666666666666,1.0,,0.6666666666666666,17.333333333333332,0.6052251476066188,0,1610612747,22000045,2020-21,0.5606060606060606,0.5,2.0,,0.5,-9.0,0.5411725955204216,1610612757
0.5726495726495726,1.0,4.0,0.0,0.5,3.5,0.5586825099020221,0,1610612748,22000051,2020-21,0.5752212389380531,1.0,2.0,0.0,0.3333333333333333,6.0,0.5867169252984,1610612749
0.6201550387596899,1.0,2.0,0.5,0.6666666666666666,5.666666666666667,0.5581789990270428,1,1610612756,22000053,2020-21,0.4903846153846153,1.0,2.0,0.5,0.6666666666666666,1.3333333333333333,0.5065593321407275,1610612740
0.5929203539823009,0.0,1.0,0.0,0.0,-9.0,0.5442464528357293,0,1610612765,22000047,2020-21,0.5114503816793893,,2.0,0.3333333333333333,0.3333333333333333,-21.33333333333333,0.4723727992912404,1610612744
0.5967741935483871,0.0,2.0,0.0,0.0,-7.666666666666667,0.5631474875930521,0,1610612764,22000050,2020-21,0.5461538461538461,0.0,2.0,,0.0,-13.333333333333334,0.4999956156695968,1610612741
0.6220472440944882,1.0,2.0,1.0,1.0,13.333333333333334,0.5927026167183648,0,1610612739,22000046,2020-21,0.6083333333333333,0.5,2.0,0.0,0.3333333333333333,-4.666666666666667,0.5409910796274432,1610612752
0.3979591836734694,0.0,2.0,1.0,0.6666666666666666,-10.333333333333334,0.5222010838233598,1,1610612746,22000054,2020-21,0.484375,1.0,2.0,0.5,0.6666666666666666,-7.0,0.5306323746312684,1610612750
0.5213675213675214,0.0,1.0,1.0,0.5,0.5,0.5292788020060748,0,1610612760,22000052,2020-21,0.5436893203883495,1.0,2.0,1.0,1.0,7.666666666666667,0.5626775709916059,1610612753
0.5229357798165137,0.5,2.0,1.0,0.6666666666666666,-3.6666666666666665,0.54521625163827,1,1610612758,22000055,2020-21,0.6260162601626016,0.3333333333333333,1.0,,0.3333333333333333,-0.6666666666666666,0.5891142278605361,1610612743
0.4871794871794871,1.0,2.0,0.5,0.6666666666666666,0.6666666666666666,0.5301519468186134,1,1610612755,22000049,2020-21,0.5846153846153846,0.0,3.0,0.0,0.0,-9.5,0.5403697078115683,1610612761
0.5714285714285714,1.0,2.0,1.0,1.0,11.333333333333334,0.6017398720682302,0,1610612754,22000048,2020-21,0.5446428571428571,0.5,2.0,0.0,0.3333333333333333,-9.333333333333334,0.5495536986524447,1610612738
0.6171875,0.5,1.0,1.0,0.75,-5.0,0.5445969171566932,1,1610612746,22000061,2020-21,0.5737704918032787,0.5,2.0,1.0,0.6666666666666666,-3.333333333333333,0.5520385609480406,1610612757
0.6238532110091743,,3.0,0.3333333333333333,0.3333333333333333,8.0,0.558075659757617,0,1610612742,22000059,2020-21,0.5864661654135338,0.5,3.0,0.0,0.3333333333333333,-2.333333333333333,0.5690336953494848,1610612766
0.5922330097087378,0.5,1.0,0.5,0.5,-8.0,0.5513724153873133,1,1610612738,22000056,2020-21,0.512396694214876,0.0,2.0,1.0,0.3333333333333333,-5.666666666666667,0.5353822314049587,1610612763
