CITY,NICKNAME,TEAM_ID,W,L,W_HOME,L_HOME,W_ROAD,L_ROAD,TEAM_TURNOVERS,TEAM_REBOUNDS,GP,GS,ACTUAL_MINUTES,ACTUAL_SECONDS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF_REB,DEF_REB,TOT_REB,AST,PF,STL,TOTAL_TURNOVERS,BLK,PTS,AVG_REB,AVG_PTS,DQ,OFFENSIVE_EFFICIENCY,SCORING_MARGIN,SEASON,GAME_DATE,GAME_ID,HOME_FLAG,AWAY_FLAG,HOME_WIN_PCTG,AWAY_WIN_PCTG,TOTAL_WIN_PCTG,ROLLING_SCORING_MARGIN,ROLLING_OE,NUM_REST_DAYS
OPPONENTS, Cavaliers,1610612739,0,1,0,0,0,1,0,9,1,5,240,0,46,93,0.495,10,29,0.345,15,17,0.882,12,29,50,30,15,4,7,3,117,50.0,117.0,0,0.6440677966101694,-3.0,2024-25,2024-11-19,22400021,0,1,1.0,0.875,0.9375,9.666666666666666,0.62677503551723,2.0
Boston,Celtics,1610612738,1,0,1,0,0,0,0,13,1,5,265,0,44,99,0.444,21,61,0.344,17,19,0.895,14,28,55,30,20,2,9,6,126,55.0,126.0,0,0.5967741935483871,3.0,2024-25,2024-11-16,22400230,1,0,0.6666666666666666,0.875,0.7857142857142857,9.0,0.6154535428728977,3.0
OPPONENTS, Raptors,1610612761,0,1,0,0,0,1,0,11,1,5,265,0,50,98,0.51,9,23,0.391,14,21,0.667,15,31,57,35,19,3,9,2,123,57.0,123.0,0,0.6692913385826772,-3.0,2024-25,2024-11-16,22400230,0,1,0.3333333333333333,0.0,0.14285714285714285,-7.0,0.5341668032409276,1.0
Brooklyn,Nets,1610612751,0,1,0,1,0,0,1,4,1,5,240,0,40,79,0.506,19,43,0.442,15,18,0.833,3,31,38,26,20,4,13,3,114,38.0,114.0,0,0.5739130434782609,-25.0,2024-25,2024-11-13,22400218,1,0,0.5,0.3333333333333333,0.4166666666666667,-9.333333333333334,0.5428240918691954,2.0
OPPONENTS, Celtics,1610612738,1,0,0,0,1,0,1,9,1,5,240,0,50,93,0.538,22,46,0.478,17,24,0.708,12,33,54,35,17,7,8,6,139,54.0,139.0,0,0.6854838709677419,25.0,2024-25,2024-11-13,22400218,0,1,0.6,0.875,0.7692307692307693,10.0,0.5931669883282786,1.0
Milwaukee,Bucks,1610612749,0,1,0,1,0,0,1,7,1,5,240,0,39,81,0.481,13,32,0.406,16,21,0.762,5,36,48,21,18,9,13,8,107,48.0,107.0,0,0.5454545454545454,-6.0,2024-25,2024-11-10,22400202,1,0,0.25,0.16666666666666666,0.2,-1.6666666666666667,0.5632284382284382,2.0
OPPONENTS, Celtics,1610612738,1,0,0,0,1,0,0,11,1,5,240,0,35,86,0.407,19,50,0.38,24,27,0.889,8,34,53,27,16,5,12,2,113,53.0,113.0,0,0.5299145299145299,6.0,2024-25,2024-11-10,22400202,0,1,0.75,0.8571428571428571,0.8181818181818182,1.3333333333333333,0.5262172639221819,2.0
Boston,Celtics,1610612738,1,0,1,0,0,0,0,13,1,5,265,0,39,90,0.433,14,53,0.264,16,19,0.842,4,35,52,23,15,7,13,9,108,52.0,108.0,0,0.5081967213114754,4.0,2024-25,2024-11-08,22400187,1,0,0.75,0.8333333333333334,0.8,9.333333333333334,0.5448915872840053,2.0
OPPONENTS, Nets,1610612751,0,1,0,0,0,1,1,13,1,5,265,0,41,100,0.41,10,38,0.263,12,15,0.8,12,39,64,24,22,6,13,3,104,64.0,104.0,0,0.52,-4.0,2024-25,2024-11-08,22400187,0,1,0.6,0.25,0.4444444444444444,-5.333333333333333,0.5484457939721098,4.0
Boston,Celtics,1610612738,0,1,0,1,0,0,0,6,1,5,240,0,38,90,0.422,19,54,0.352,17,21,0.81,13,34,53,22,18,5,12,3,112,53.0,112.0,0,0.5405405405405406,-6.0,2024-25,2024-11-06,22400172,1,0,0.6666666666666666,0.8333333333333334,0.7777777777777778,11.333333333333334,0.5510879182754183,2.0
OPPONENTS, Warriors,1610612744,1,0,0,0,1,0,0,3,1,5,240,0,42,91,0.462,14,34,0.412,20,24,0.833,15,38,56,22,19,6,11,5,118,56.0,118.0,0,0.5871559633027523,6.0,2024-25,2024-11-06,22400172,0,1,0.6666666666666666,1.0,0.875,8.333333333333334,0.6055307247967798,2.0
