CITY,NICKNAME,TEAM_ID,W,L,W_HOME,L_HOME,W_ROAD,L_ROAD,TEAM_TURNOVERS,TEAM_REBOUNDS,GP,GS,ACTUAL_MINUTES,ACTUAL_SECONDS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF_REB,DEF_REB,TOT_REB,AST,PF,STL,TOTAL_TURNOVERS,BLK,PTS,AVG_REB,AVG_PTS,DQ,OFFENSIVE_EFFICIENCY,SCORING_MARGIN,SEASON,GAME_DATE,GAME_ID,HOME_FLAG,AWAY_FLAG,HOME_WIN_PCTG,AWAY_WIN_PCTG,TOTAL_WIN_PCTG,ROLLING_SCORING_MARGIN,ROLLING_OE,NUM_REST_DAYS
OPPONENTS, Warriors,1610612744,0,1,0,0,0,1,0,14,1,5,240,0,37,99,0.374,10,33,0.303,15,23,0.652,13,34,61,26,24,6,18,6,99,61.0,99.0,0,0.4846153846153846,-26.0,2020-21,2020-12-22,22000001,0,1,,0.0,0.0,-26.0,0.4846153846153846,
Brooklyn,Nets,1610612751,1,0,1,0,0,0,0,8,1,5,240,0,42,92,0.457,15,35,0.429,26,32,0.813,13,44,65,24,22,11,20,7,125,65.0,125.0,0,0.5365853658536586,26.0,2020-21,2020-12-22,22000001,1,0,1.0,,1.0,26.0,0.5365853658536586,
Los Angeles,Lakers,1610612747,0,1,0,1,0,0,0,10,1,5,240,0,38,81,0.469,9,29,0.31,24,31,0.774,8,37,55,22,20,4,19,2,109,55.0,109.0,0,0.5263157894736842,-7.0,2020-21,2020-12-22,22000002,1,0,0.0,,0.0,-7.0,0.5263157894736842,
OPPONENTS, Clippers,1610612746,1,0,0,0,1,0,0,9,1,5,240,0,44,93,0.473,14,40,0.35,14,19,0.737,11,29,49,22,29,10,16,3,116,49.0,116.0,0,0.55,7.0,2020-21,2020-12-22,22000002,0,1,,1.0,1.0,7.0,0.55,
Cleveland,Cavaliers,1610612739,1,0,1,0,0,0,3,7,1,5,240,0,46,87,0.529,14,30,0.467,15,20,0.75,10,40,57,34,22,12,21,3,121,57.0,121.0,0,0.6060606060606061,7.0,2020-21,2020-12-23,22000010,1,0,1.0,,1.0,7.0,0.6060606060606061,
Denver,Nuggets,1610612743,0,1,0,1,0,0,0,7,1,5,265,0,47,98,0.48,8,29,0.276,20,24,0.833,10,36,53,28,25,6,15,11,122,53.0,122.0,1,0.5725190839694656,-2.0,2020-21,2020-12-23,22000019,1,0,0.0,,0.0,-2.0,0.5725190839694656,
OPPONENTS, Mavericks,1610612742,0,1,0,0,0,1,1,7,1,5,240,0,36,85,0.424,9,37,0.243,21,26,0.808,6,33,46,17,23,6,12,0,102,46.0,102.0,0,0.49074074074074076,-4.0,2020-21,2020-12-23,22000004,0,1,,0.0,0.0,-4.0,0.49074074074074076,
Portland,Trail Blazers,1610612757,0,1,0,1,0,0,0,9,1,5,240,0,37,92,0.402,12,33,0.364,14,17,0.824,6,34,49,23,18,6,6,3,100,49.0,100.0,0,0.5217391304347826,-20.0,2020-21,2020-12-23,22000020,1,0,0.0,,0.0,-20.0,0.5217391304347826,
Boston,Celtics,1610612738,1,0,1,0,0,0,1,7,1,5,240,0,48,101,0.475,18,40,0.45,8,11,0.727,10,27,44,23,17,8,7,6,122,44.0,122.0,0,0.5867768595041323,1.0,2020-21,2020-12-23,22000003,1,0,1.0,,1.0,1.0,0.5867768595041323,
OPPONENTS, Bucks,1610612749,0,1,0,0,0,1,0,7,1,5,240,0,46,90,0.511,14,35,0.4,15,18,0.833,11,41,59,19,20,4,16,6,121,59.0,121.0,0,0.5701754385964912,-1.0,2020-21,2020-12-23,22000003,0,1,,0.0,0.0,-1.0,0.5701754385964912,
OPPONENTS, Wizards,1610612764,0,1,0,0,0,1,1,9,1,5,240,0,39,85,0.459,13,27,0.481,16,23,0.696,5,35,49,28,26,7,20,4,107,49.0,107.0,0,0.5234375,-6.0,2020-21,2020-12-23,22000013,0,1,,0.0,0.0,-6.0,0.5234375,
Philadelphia,76ers,1610612755,1,0,1,0,0,0,2,10,1,5,240,0,41,87,0.471,8,28,0.286,23,30,0.767,10,37,57,22,25,11,18,8,113,57.0,113.0,0,0.5384615384615384,6.0,2020-21,2020-12-23,22000013,1,0,1.0,,1.0,6.0,0.5384615384615384,
OPPONENTS, Spurs,1610612759,1,0,0,0,1,0,1,7,1,5,240,0,48,95,0.505,10,25,0.4,25,29,0.862,8,40,55,28,18,8,11,8,131,55.0,131.0,0,0.6031746031746031,12.0,2020-21,2020-12-23,22000017,0,1,,1.0,1.0,12.0,0.6031746031746031,
Phoenix,Suns,1610612756,1,0,1,0,0,0,1,9,1,5,240,0,38,79,0.481,11,30,0.367,19,27,0.704,6,42,57,21,26,7,19,7,106,57.0,106.0,0,0.5221238938053098,4.0,2020-21,2020-12-23,22000004,1,0,1.0,,1.0,4.0,0.5221238938053098,
Indiana,Pacers,1610612754,1,0,1,0,0,0,0,14,1,5,240,0,46,94,0.489,8,34,0.235,21,29,0.724,10,40,64,28,24,6,13,9,121,64.0,121.0,0,0.592,14.0,2020-21,2020-12-23,22000011,1,0,1.0,,1.0,14.0,0.592,
Memphis,Grizzlies,1610612763,0,1,0,1,0,0,0,7,1,5,240,0,49,95,0.516,10,27,0.37,11,18,0.611,5,37,49,27,20,6,11,8,119,49.0,119.0,1,0.59375,-12.0,2020-21,2020-12-23,22000017,1,0,0.0,,0.0,-12.0,0.59375,
Toronto,Raptors,1610612761,0,1,0,1,0,0,1,12,1,5,240,0,38,89,0.427,14,46,0.304,9,12,0.75,7,28,47,26,22,10,21,5,99,47.0,99.0,0,0.49612403100775193,-14.0,2020-21,2020-12-23,22000014,1,0,0.0,,0.0,-14.0,0.49612403100775193,
OPPONENTS, Pelicans,1610612740,1,0,0,0,1,0,3,10,1,5,240,0,42,80,0.525,19,42,0.452,10,20,0.5,8,37,55,30,17,13,27,7,113,55.0,113.0,0,0.5581395348837209,14.0,2020-21,2020-12-23,22000014,0,1,,1.0,1.0,14.0,0.5581395348837209,
OPPONENTS, Knicks,1610612752,0,1,0,0,0,1,0,4,1,5,240,0,39,85,0.459,12,28,0.429,17,23,0.739,5,35,44,25,27,8,16,8,107,44.0,107.0,0,0.5289256198347108,-14.0,2020-21,2020-12-23,22000011,0,1,,0.0,0.0,-14.0,0.5289256198347108,
